Jinghpaw Star Travels & Tours Company Limited|ဂျိမ်းဖော စတား ထရားဗဲလ်စ် အန် တိုး(စ်) ကုမ္ပဏီ လီမိတက်|4709/2017-2018(ygn)|30-01-2023||
Myanmar Bicycle Tours Company Limited|မြန်မာ ဘိုင်စကယ်တိုး ကုမ္ပဏီ လီမိတက်|1004fc/2017-2018(ygn)|23-01-2023||
Dream Tour Co., Ltd.|အိမ်မက်များ ခရီးသွားလာရေး ကုမ္ပဏီ လီမိိတက်|663/2002-2003|09-01-2023||
Gracie Tour Myanmar Company Limited|ဂရေစီတိုး မြန်မာ ကုမ္ပဏီ လီမိတက်|4455/2017-2018(ygn)|14-01-2023||
T C S Travel & Tours Company Limited|တီ စီ အက်စ် ခရီးသွားလုပ်ငန်း ကုမ္ပဏီ လီမိတက်|4432/2017-2018(ygn)|14-01-2023||
Nan Htike Thu Travel & Tours Company Limited|နန်းထိုက်သူ ထရဲဗဲလ် အင်န် တိုး(စ်) ကုမ္ပဏီ လီမိတက်|4435/2017-2018(ygn)|14-01-2023||
True Time ( T T ) Travels & Tours Company Limited|မှန်ကန်သောအချိန် (တီ တီ) ခရီးသွားလာရေး  ကုမ္ပဏီ လီမိတက်|4315/2017-2018(ygn)|07-01-2023||
Lotus Asia Tours Co., Ltd.|လိုးတပ်စ် အေးရှား တိုး(စ်) ကုမ္ပဏီ လီမိတက်|923fc/2017-2018(ygn)|04-01-2023||
G.s.t Travels And Tours Company Limited|ဂျီ.အက်စ်.တီ ခရီးသွားလုပ်ငန်း ကုမ္ပဏီ လီမိတက်|4264/2017-2018(ygn)|01-01-2023||
Myanmar Voyages Global Tourism Company Limited|မြန်မာ ဗွိုင်းယေချ်(စ်) ဂလိုဘယ် တိုးရစ်ဇင် ကုမ္ပဏီ လီမိတက်|896fc/2017-2018(ygn)|26-12-2022||
Tour Maker Company Limited|တိုး မိတ်ကာ ကုမ္ပဏီ လီမိတက်|4180/2017-2018(ygn)|25-12-2022||
Wonderful Trails Travel & Tours Company Limited|အံ့ဖွယ်ထူးခြားခြေလှမ်းများ ခရီးသွား ကုမ္ပဏီ လီမိတက်|4164/2017-2018(ygn)|21-12-2022||
Northern Eden Travels & Tours Company Limited|နော်သမ် ဧဒင် ထရားဗဲလ် အင်န် တိုး(စ်) ကုမ္ပဏီ လီမိတက်|4057/2017-2018(ygn)|13-12-2022||
Myanmar Shwe Yanant Travels & Tours Company Limited|မြန်မာ ရွှေရနံ့ ခရီးသွားလုပ်ငန်း ကုမ္ပဏီ လီမိတက်|4032/2017-2018(ygn)|12-12-2022||
Ohayo Travels & Tours Company Limited|အိုဟိုင်းရော ခရီးသွားလုပ်ငန်း ကုမ္ပဏီ လီမိတက်|4003/2017-2018(ygn)|11-12-2022||
Ktz (ko Thant Zin Car Rental) Travels & Tours Company Limited|ကေတီဇက် (ကိုသန့်ဇင် ကားရမ်တယ်) ထရားဗဲလ် အင်(န်) တိုး(စ်) ကုမ္ပဏီ လီမိတက်|3913/2017-2018(ygn)|05-12-2022||
Joy First Class Tour Company Limited|ဂျွိုင်းဖက်စ် ကလပ်စ်တိုး ကုမ္ပဏီ လီမိတက်|3896/2017-2018(ygn)|04-12-2022||
Golden Honour & Tour Company Limited|ဂိုး(လ်) ဒင်းအော်နာ ထရားဗဲ (လ်) အင်(န်)တိုး ကုမ္ပဏီ လီမီတက်|3883/2017-2018(ygn)|03-12-2022||
Top Choice Travels & Tours Company Limited|တော့ပ် ချိုက်စ် ထရားဗဲစ် အန် တိုး(စ်) ကုမ္ပဏီ လီမိတက်|3870/2017-2018(ygn)|03-12-2022||
M-hospitality And Tourism Institute Company Limited.|M-hospitality And Tourism Institute Company Limited.|797fc/2017-2018(ygn)|27-11-2022||
Yin Min Htike Travel & Tour Company Limited|ယဉ်မင်းထိုက် ခရီးသွားလုပ်ငန်း ကုမ္ပဏီ လီမိတက်|1273/2017-2018(ygn)|13-06-2022||
Avon Travels & Tours Company Limited.|အေဗွန် ထရားဗဲလ်(စ်) အဲန် တိုး(ရ်)(စ်) ကုမ္ပဏီလီမိတက်|1625/2017-2018(npw)|23-11-2022||
Zam Zam Water Travels & Tours Company Limited|ဇမ်ဇမ် ဝါးတား ထရာဗဲ(လ် )အန် တိုး(လ်) ကုမ္ပဏီ လီမိတက်|1598/2017-2018(npw)|20-11-2022||
Asia Knights Travel & Tours Company Limited|အာရှသူရဲကောင်းများ ခရီးသွားလုပ်ငန်း ကုမ္ပဏီ လီမိတက်|3716/2017-2018(ygn)|20-11-2022||
De Venture Myanmar Travel And Tours Company Limited|ဒီဗန်းချား  မြန်မာ ထရားဗဲလ် အန် တိုး(စ်) ကုမ္ပဏီ လီမိတက်|3666/2017-2018(ygn)|16-11-2022||
Tharabar Gateway Travel & Tour Company Limited|သရဘာဂိတ်ဝေး ခရီးသွား ကုမ္ပဏီ လီမိတက်|3652/2017-2018(ygn)|15-11-2022||
Royal Path Travel & Tour Company Limited|တော်ဝင်လမ်း ခရီးသွားလုပ်ငန်း ကုမ္ပဏီ လီမိတက်|3637/2017-2018(ygn)|14-11-2022||
Peacock Moon Travels And Tours Company Limited|ဒေါင်းစန္ဒာ ခရီးသွားလုပ်ငန်း ကုမ္ပဏီ လီမိတက်|3577/2017-2018(ygn)|09-11-2022||
Myanmar Swetty Life Travels & Tours Company Limited|မြန်မာ ဆွီတီ လိုက် (ဖ်) ထရားဗယ်လ်(စ်) အင်(န်) တိုး(စ်) ကုမ္ပဏီ လီမိတက်|3556/2017-2018(ygn)|07-11-2022||
Ni Ni Moe Myint Travels & Tours Company Limited|နီနီမိုးမြင့် ခရီးသွားလာရေး ကုမ္ပဏီ လီမိတက်|1531/2017-2018(npw)|30-10-2022||
Amarapura Travels & Tours Company Limited.|အမရပူရ ခရီးသွားလုပ်ငန်း ကုမ္ပဏီလီမိတက်|1529/2017-2018(npw)|30-10-2022||
Madang Star Travels & Tours Company Limited|မ(ဒ်)ဒန်စတား ခရီးသွားလာရေး ကုမ္ပဏီ လီမိတက်|3421/2017-2018(ygn)|25-10-2022||
Into Myanmar Travels And Tours Company Limited|အင်တူ မြန်မာ ခရီးသွားလုပ်ငန်း ကုမ္ပဏီ လီမိတက်|3388/2017-2018(ygn)|24-10-2022||
Travel Dream Travel & Tour Company Limited.|အိမ်မက်ခရီး ခရီးသွားလုပ်ငန်း ကုမ္ပဏီလီမိတက်|1460/2017-2018(npw)|16-10-2022||
Tripoholic Travels And Tour Company Limited|ထရစ်ပိုဟောလခ် ထရဲဗဲလ်စ် အဲန်ဒ် တိုး ကုမ္ပဏီ လီမိတက်|3233/2017-2018(ygn)|11-10-2022||
